audio,transcription,transcription_mfa
karuk-2010-05-01-arg-edited-2_33,vura uum yav.,vura uum yav
karuk-2010-05-01-arg-edited-2_34,faatva uchuuphitih.,faatva uchuuphitih
karuk-2010-05-01-arg-edited-2_35,koovura yaamachas pananuvuup.,koovura yaamachas pananuvuup
karuk-2010-05-01-arg-edited-2_36,pamu'atraax too kuha.,pamuqatraax too kuha
karuk-2010-05-01-arg-edited-2_37,naa vura ikyavichvaan.,naa vura ikyavichvaan
karuk-2010-05-01-arg-edited-2_38,akaay muthyur?,akaay muthyur
karuk-2010-05-01-arg-edited-2_39,muthvaay too kuha.,muthvaay too kuha
karuk-2010-05-01-arg-edited-2_40,xayfaat iim vishvankaam.,xayfaat iim vishvankaam
karuk-2010-05-01-arg-edited-2_41,ithitiv hum?,ithitiv hum
karuk-2010-05-01-arg-edited-2_42,puxich tuyunyuunha.,puxich tuyunyuunha
karuk-2010-05-01-arg-edited-2_43,ikiich vura xara vura ta nikrii.,ikiich vura xara vura ta nikrii
karuk-2010-05-01-arg-edited-2_44,arara'ishpuk hum?,araraqishpuk hum
karuk-2010-05-01-arg-edited-2_45,vura ipih uum too spat.,vura ipih uum too spat
karuk-2010-05-01-arg-edited-2_46,pay uum vaa kunipitih.,pay uum vaa kunipitih
karuk-2010-05-01-arg-edited-2_47,Arch vura toopiip hum?,Arch vura toopiip hum
karuk-2010-05-01-arg-edited-2_48,koovura kunpavyiishipeesh payeem.,koovura kunpavyiishipeesh payeem
karuk-2010-05-01-arg-edited-2_49,paykuuk uum papoos.,paykuuk uum papoos
karuk-2010-05-01-arg-edited-2_50,Arch uum tuthitiv.,Arch uum tuthitiv
karuk-2010-05-01-arg-edited-2_51,too paachur pamu'ishkiit.,too paachur pamuqishkiit
karuk-2010-05-01-arg-edited-2_52,vaa apxantinihichas panuchuphunishkoonaatih.,vaa apxantinihichas panuchuphunishkoonaatih
karuk-2010-05-01-arg-edited-2_53,yaxa paykuuk karu apxantinihich karu pay apxantinihich karu pay apxantinihich,yaxa paykuuk karu apxantinihich karu pay apxantinihich karu pay apxantinihich
karuk-2010-05-01-arg-edited-2_54,ararahih nichuupha.,ararahih nichuupha
karuk-2010-05-01-arg-edited-2_55,kunyunyuunhinaatih.,kunyunyuunhinaatih
karuk-2010-05-01-arg-edited-2_56,pay vura uum uxutih iyunyuunhitih.,pay vura uum uxutih iyunyuunhitih
karuk-2010-05-01-arg-edited-2_57,uum vaa paykuuk vura uum vaa yav.,uum vaa paykuuk vura uum vaa yav
karuk-2010-05-01-arg-edited-2_58,"haa, vaa amayav pataay ni'avat.",haa vaa amayav pataay niqavat
karuk-2010-05-01-arg-edited-2_59,koovura panithafiiptih.,koovura panithafiiptih
karuk-2010-05-01-arg-edited-2_60,pufaat nanishpuk.,pufaat nanishpuk
karuk-2013-03-29-vs-3_01,too mnish pa'aama.,too mnish paqaama
karuk-2013-03-29-vs-4_01,pa'aama too mnish.,paqaama too mnish
karuk-2013-03-29-vs-4_02,vura uum yav.,vura uum yav
karuk-2013-03-29-vs-4_03,pa'aama too mnish vura uum kunish ikxaramkunish.,paqaama too mnish vura uum kunish ikxaramkunish
karuk-2013-03-29-vs-4_04,tu'iinka.,tuqiinka
karuk-2013-03-29-vs-4_05,pa'aama too mnish xas vura tu'iinka.,paqaama too mnish xas vura tuqiinka
karuk-2013-03-29-vs-4_06,pa'aama too mnish xas tu'iinka.,paqaama too mnish xas tuqiinka
karuk-2013-03-29-vs-4_07,xas ikxaramkunish.,xas ikxaramkunish
karuk-2013-03-29-vs-4_08,,
karuk-2013-03-29-vs-4_09,pa'apxaan tu'iinka.,paqapxaan tuqiinka
karuk-2013-03-29-vs-4_10,pa'apxaan vura tu'iinka ikxaramkunish.,paqapxaan vura tuqiinka ikxaramkunish
karuk-2013-03-29-vs-4_11,too kxaramkunish.,too kxaramkunish
karuk-2013-03-29-vs-4_12,taay vura paxuntapan ifikeesh.,taay vura paxuntapan ifikeesh
karuk-2013-03-29-vs-4_13,too xyar.,too xyar
karuk-2013-03-29-vs-4_14,taay vura ifikeesh paxuntapan.,taay vura ifikeesh paxuntapan
karuk-2013-03-29-vs-4_15,vura too xyar pa'atimnam.,vura too xyar paqatimnam
karuk-2013-03-29-vs-4_16,too yruhunih.,too yruhunih
karuk-2013-03-29-vs-4_17,uyruuhsip.,uyruuhsip
karuk-2013-03-29-vs-4_18,papusihich too skakuraa pa'amkirak.,papusihich too skakuraa paqamkirak
karuk-2013-03-29-vs-4_19,papusihich too skakuraa amkiravasih.,papusihich too skakuraa amkiravasih
karuk-2013-03-29-vs-4_20,papusihich too skakunih.,papusihich too skakunih
karuk-2013-03-29-vs-4_21,pa'avansa too path pa'unuhxiitich xas ikrivkirak.,paqavansa too path paqunuhxiitich xas ikrivkirak
karuk-2013-03-29-vs-4_22,pa'ipaha too kyivishrih.,paqipaha too kyivishrih
karuk-2013-03-29-vs-4_23,pa'ipaha vura yav too kyivish.,paqipaha vura yav too kyivish
karuk-2013-03-29-vs-4_24,a' tupaathuraa pa'ipahak pa'unuhxiitich.,aq tupaathuraa paqipahak paqunuhxiitich
karuk-2013-03-29-vs-4_25,ipahak tupaathka.,ipahak tupaathka
karuk-2013-03-29-vs-4_26,tupaathunih.,tupaathunih
karuk-2013-03-29-vs-4_27,a' tupaathunih ipahak.,aq tupaathunih ipahak
karuk-2013-03-29-vs-4_28,uktinvunaatih.,uktinvunaatih
karuk-2013-03-29-vs-4_29,sara muuk too ktinvunaa.,sara muuk too ktinvunaa
karuk-2013-03-29-vs-4_30,pasara vura too ktinvunaa taay pa'araaras.,pasara vura too ktinvunaa taay paqaraaras
karuk-2013-03-29-vs-4_31,pa'sara vura too ktir.,paqsara vura too ktir
karuk-2013-03-29-vs-4_32,too ktir pa'avansa.,too ktir paqavansa
karuk-2013-03-29-vs-4_33,pa'as muuk vura too ktir pa'avansa.,paqas muuk vura too ktir paqavansa
karuk-2013-03-29-vs-4_34,xayfaat ishkaakatih.,xayfaat ishkaakatih
karuk-2013-03-29-vs-4_35,xayfaat i'aamtih.,xayfaat iqaamtih
karuk-2013-03-29-vs-4_36,too yuuhva.,too yuuhva
karuk-2013-03-29-vs-4_37,papusihich too yuuhva.,papusihich too yuuhva
karuk-2013-03-29-vs-4_38,papusihich too msakar.,papusihich too msakar
karuk-2013-03-29-vs-4_39,papusihich too msakar papuuvish.,papusihich too msakar papuuvish
karuk-2013-03-29-vs-4_40,naa pananipusihich axakyaan ni'akihtih.,naa pananipusihich axakyaan niqakihtih
karuk-2013-03-29-vs-4_41,naa kuyrakyaan ni'aamtih.,naa kuyrakyaan niqaamtih
karuk-2013-03-29-vs-4_42,naa pithyaan ni'aamtih.,naa pithyaan niqaamtih
karuk-2013-03-29-vs-4_43,naa vura pananipusihich vura taay u'aamtih.,naa vura pananipusihich vura taay uqaamtih
karuk-2013-03-29-vs-4_44,pananipusihich uum vura mah'iit kich u'aamtih.,pananipusihich uum vura mahqiit kich uqaamtih
karuk-2013-03-29-vs-4_45,axakyaan Medford nivaaram.,axakyaan Medford nivaaram
karuk-2013-03-29-vs-4_46,naa neepeerat ta koo iim peeshkaaktih.,naa neepeerat ta koo iim peeshkaaktih
karuk-2013-03-29-vs-4_47,xayfaat ta koo peeshkaaktih.,xayfaat ta koo peeshkaaktih
karuk-2013-03-29-vs-4_48,ta koo peexapkooti pa'unuhxiitich.,ta koo peexapkooti paqunuhxiitich
karuk-2015-04-18-vs-4_01,koovura tithafip pa'aama.,koovura tithafip paqaama
karuk-2015-04-18-vs-4_02,"koovura tithafip pa'aama, pufaat vura naa.",koovura tithafip paqaama pufaat vura naa
karuk-2015-04-18-vs-4_03,naa pufaat.,naa pufaat
karuk-2015-04-18-vs-4_04,iim tithafip pa'aama.,iim tithafip paqaama
karuk-2015-04-18-vs-4_05,,
karuk-2015-04-18-vs-4_06,papusihich vura uum ishriiv.,papusihich vura uum ishriiv
karuk-2015-04-18-vs-4_07,"papusihich vura uum taay poo'aamtih, xas vura uum puxich tu'ishriivha.",papusihich vura uum taay pooqaamtih xas vura uum puxich tuqishriivha
karuk-2015-04-18-vs-4_08,"papusihich vura pu'aamtihara, xas vura payeem ta axaska.",papusihich vura puqaamtihara xas vura payeem ta axaska
karuk-2015-04-18-vs-4_09,"vura uum taay pamu'ifunih, papusihich.",vura uum taay pamuqifunih papusihich
karuk-2015-04-18-vs-4_10,,
karuk-2015-04-18-vs-4_11,papusihich uum pufaat pamu'ifunih payeem.,papusihich uum pufaat pamuqifunih payeem
karuk-2015-04-18-vs-4_12,pa'ishkeesh tupivaxrah.,paqishkeesh tupivaxrah
karuk-2015-04-18-vs-4_13,tupivaxrah.,tupivaxrah
karuk-2015-04-18-vs-4_14,"vura uum puxich tu'uh, pa'ishkeesh.",vura uum puxich tuquh paqishkeesh
karuk-2015-04-18-vs-4_15,tu'uh.,tuquh
karuk-2015-04-18-vs-4_16,pa'ishkeesh vura uum puxich tu'uh.,paqishkeesh vura uum puxich tuquh
karuk-2015-04-18-vs-4_17,pa'ishkeesh vura puxich tu'uh.,paqishkeesh vura puxich tuquh
karuk-2015-04-18-vs-4_18,pa'ishkeesh u'uuhtih.,paqishkeesh uquuhtih
karuk-2015-04-18-vs-4_19,vura uum kunish puyav imusahatihara.,vura uum kunish puyav imusahatihara
karuk-2015-04-18-vs-4_20,puyav imusahatihara.,puyav imusahatihara
karuk-2015-04-18-vs-4_21,naa vura kunish keevniikich.,naa vura kunish keevniikich
karuk-2015-04-18-vs-4_22,"yav vura yaamach payupsitanach, xas vura uum pakeech ukyav, xas vura uum imusakeem.",yav vura yaamach payupsitanach xas vura uum pakeech ukyav xas vura uum imusakeem
karuk-2015-04-18-vs-4_23,manaa vaa pa'avansa vura vaa puxich mit vura itihaan vura ikpihan.,manaa vaa paqavansa vura vaa puxich mit vura itihaan vura ikpihan
karuk-2015-04-18-vs-4_24,"itihaan vura vaa ikpihan, karu xas vura vaa poo'if vura vaa itihaan vura ikpihan.",itihaan vura vaa ikpihan karu xas vura vaa pooqif vura vaa itihaan vura ikpihan
karuk-2015-04-18-vs-4_25,ip poo'if xas vura vaa ikpihan.,ip pooqif xas vura vaa ikpihan
karuk-2015-04-18-vs-4_26,xas vura itihaan vura vaa ikpihan.,xas vura itihaan vura vaa ikpihan
karuk-2015-04-18-vs-4_27,itihaan vura vaa ikpihan.,itihaan vura vaa ikpihan
karuk-2015-04-18-vs-4_28,"poo'iifti xas vura vaa kaarim, vura pufaat pu'uum, taay vura pufaat.",pooqiifti xas vura vaa kaarim vura pufaat puquum taay vura pufaat
karuk-2015-04-18-vs-4_29,xas vura vaa tu'if.,xas vura vaa tuqif
karuk-2015-04-18-vs-4_30,"vura pufaat uum vura mu'am mu'uup, xas vura vaa kaarim, xas vura vaa poo'iiftih.",vura pufaat uum vura muqam muquup xas vura vaa kaarim xas vura vaa pooqiiftih
karuk-2015-04-18-vs-4_31,vura uum kaanimich pa'asiktavaan.,vura uum kaanimich paqasiktavaan
karuk-2015-04-18-vs-4_32,pa'araar uum vura pupitihara.,paqaraar uum vura pupitihara
karuk-2015-04-18-vs-4_33,vaaram ti'if.,vaaram tiqif
karuk-2015-04-18-vs-4_34,kunish apxantinihich imusahitih.,kunish apxantinihich imusahitih
karuk-2015-04-18-vs-4_35,pa'avansa ipshuunkunich.,paqavansa ipshuunkunich
karuk-2015-04-18-vs-4_36,"pa'avansa ipshuunkunich, arara'avansa.",paqavansa ipshuunkunich araraqavansa
karuk-2015-04-18-vs-4_37,apxantinihich'avansa uum kunish vaaramas.,apxantinihichqavansa uum kunish vaaramas
karuk-2015-04-18-vs-4_38,pufaat mikafih.,pufaat mikafih
karuk-2015-04-18-vs-4_39,xas payeem vura itniivka.,xas payeem vura itniivka
karuk-2015-04-18-vs-4_40,vaa vura uum puxich ta nafurathfip.,vaa vura uum puxich ta nafurathfip
karuk-2015-04-18-vs-4_41,karu puxich tufurathfip.,karu puxich tufurathfip
karuk-2015-04-18-vs-4_42,iim karu pee'ahooti vurava kunish furathfip.,iim karu peeqahooti vurava kunish furathfip
karuk-2015-04-18-vs-4_43,ip peevoonfuruk ip kunish vaa ifurathfiptih.,ip peevoonfuruk ip kunish vaa ifurathfiptih
karuk-2015-04-18-vs-4_44,ikiich pami'avansa teexviphuunish.,ikiich pamiqavansa teexviphuunish
karuk-2015-04-18-vs-4_45,ikiich apapkam vaa mi'asimnaam itxaariheen.,ikiich apapkam vaa miqasimnaam itxaariheen
karuk-2015-04-18-vs-4_46,ip u'aasishrihat.,ip uqaasishrihat
karuk-2015-04-18-vs-4_47,ip u'aasishriheen kunish vaa puyav ipmahoonkoonatihara.,ip uqaasishriheen kunish vaa puyav ipmahoonkoonatihara
karuk-2015-04-18-vs-4_48,pay ni'aveesh.,pay niqaveesh
karuk-2015-04-18-vs-4_49,naa nitxaarih.,naa nitxaarih
karuk-2015-04-18-vs-4_50,xas vura uum yav neepmahoonkoonatih.,xas vura uum yav neepmahoonkoonatih
karuk-2015-04-18-vs-4_51,iim huut ipmahoonkoonatih?,iim huut ipmahoonkoonatih
karuk-2015-04-18-vs-4_52,iim yav ipmahoonkoonatih.,iim yav ipmahoonkoonatih
karuk-2015-04-18-vs-4_53,payeem xas?,payeem xas
karuk-2015-04-18-vs-4_54,yav ikyaati papusihich.,yav ikyaati papusihich
karuk-2015-04-18-vs-4_55,"xayfaat ikyav vaa, kaarim ikyaatih.",xayfaat ikyav vaa kaarim ikyaatih
karuk-2015-04-18-vs-4_56,ip poovoonfuruk uksaahtih.,ip poovoonfuruk uksaahtih
karuk-2015-04-18-vs-4_57,uum karu poovoonfurukati puyav ipmahoonkoonatihara.,uum karu poovoonfurukati puyav ipmahoonkoonatihara
karuk-2015-04-18-vs-4_58,,
karuk-2015-04-18-vs-4_59,"iikam paaxiitichas kunihmarathunanaatih, xas vura vaa kaan kunikshaahtih.",iikam paaxiitichas kunihmarathunanaatih xas vura vaa kaan kunikshaahtih
karuk-2015-04-18-vs-4_60,"iikam paaxiitichas kunihmarathununaatih, xas vura koovura yav kunipmahoonkoonatih.",iikam paaxiitichas kunihmarathununaatih xas vura koovura yav kunipmahoonkoonatih
karuk-2015-04-18-vs-4_61,"puuhara, naa nixuti iikam vura kaan kunihmarathununaatih, xas koovura vaa vura yav kunipmahoonkoonatih.",puuhara naa nixuti iikam vura kaan kunihmarathununaatih xas koovura vaa vura yav kunipmahoonkoonatih
karuk-2015-04-18-vs-4_62,oh vura utatuyishrihti vaa vura pay paporch.,oh vura utatuyishrihti vaa vura pay paporch
karuk-2015-04-18-vs-4_63,karu pootatuyishrihat koovura paporch.,karu pootatuyishrihat koovura paporch
karuk-2015-04-18-vs-4_64,vura uum cheech tutatuyish.,vura uum cheech tutatuyish
karuk-2015-04-18-vs-4_65,cheech tutatuyishrih paporch.,cheech tutatuyishrih paporch
karuk-2015-04-18-vs-4_66,vura cheech tutatuyishrih paporch.,vura cheech tutatuyishrih paporch
VS-33_01,hooy pataripaan?,hooy pataripaan
VS-33_02,vaa kaan uthivtakoo.,vaa kaan uthivtakoo
VS-33_03,uthaantakoo pa'amkir.,uthaantakoo paqamkir
VS-33_04,faat kuma'asip?,faat kumaqasip
VS-33_05,hooy pa'apus?,hooy paqapus
VS-33_06,pa'apus uum su'.,paqapus uum suq
VS-33_07,pa'avansa uthxuunatih.,paqavansa uthxuunatih
VS-33_08,vaa kaan ukrii.,vaa kaan ukrii
VS-33_09,vaa kaan mukrivraam.,vaa kaan mukrivraam
VS-33_10,vaa kaan pookrii.,vaa kaan pookrii
VS-33_11,ishaha papaah.,ishaha papaah
VS-33_12,vaa kaan tas karu.,vaa kaan tas karu
VS-33_13,iikam patas.,iikam patas
VS-33_14,hooy uum patasakaam?,hooy uum patasakaam
VS-33_15,maruk ipaha.,maruk ipaha
VS-33_17,vaa kaan uyukukuhiti yukukuh.,vaa kaan uyukukuhiti yukukuh
VS-33_18,pataripaan too schur.,pataripaan too schur
VS-33_19,naa ta nishchur.,naa ta nishchur
VS-33_20,kaan uvarariihvutih,kaan uvarariihvutih
VS-33_21,kaan uvarariihvutih kaan pa'aan,kaan uvarariihvutih kaan paqaan
VS-33_22,vaa kaan aah too kyav.,vaa kaan aah too kyav
VS-33_23,xas vaa kaan ukrii.,xas vaa kaan ukrii
VS-33_24,vaa kaan too kriishrih.,vaa kaan too kriishrih
VS-33_25,ahapiimich kaan ukrii,ahapiimich kaan ukrii
VS-33_26,"vaa kaan taay pa'apus, apus'ipaha.",vaa kaan taay paqapus apusqipaha
VS-33_27,ipaha vasihkam.,ipaha vasihkam
VS-33_28,"vaa kaan ukrii, ikrivkir vasihkam.",vaa kaan ukrii ikrivkir vasihkam
VS-33_29,ikrivkir vasihkam kaan ukrii.,ikrivkir vasihkam kaan ukrii
VS-33_30,vaa kaan u'ichunvutih.,vaa kaan uqichunvutih
VS-33_31,naa ni'ichunvutih.,naa niqichunvutih
VS-33_32,tu'ichunva.,tuqichunva
VS-33_33,ipaha kaan ukuuntakoo.,ipaha kaan ukuuntakoo
VS-33_34,vaa kaan u''ichunvutih.,vaa kaan uqqichunvutih
VS-33_35,vaa kaan mukrivraam.,vaa kaan mukrivraam
VS-33_36,ta nimah pa'ikrivram'aaxkunish.,ta nimah paqikrivramqaaxkunish
VS-33_37,ta nimah pa'ikrivraam.,ta nimah paqikrivraam
VS-33_38,hooy peekrivram'aaxkunish?,hooy peekrivramqaaxkunish
VS-33_39,"ta nimah, pa'uuxkunish xuntapan.",ta nimah paquuxkunish xuntapan
VS-34a_01,ook uum pufaat pa'as.,ook uum pufaat paqas
VS-34a_02,iikam pufaat pa'as.,iikam pufaat paqas
VS-34a_03,ook uum vura pufaat pataay pa'as.,ook uum vura pufaat pataay paqas
VS-34a_04,"ook uum vura taay pa'as, pufaat pay uum pa'ipaha.",ook uum vura taay paqas pufaat pay uum paqipaha
VS-34a_05,ook uum vura taay pa'as.,ook uum vura taay paqas
VS-34a_06,"ook uum vura pa'as kich, pufaat uum pa'ipaha.",ook uum vura paqas kich pufaat uum paqipaha
VS-34a_07,"ook uum pufaat pa'ipaha, 'as kich.",ook uum pufaat paqipaha qas kich
VS-34a_08,taay vura pa'as pay'ook pi'eep.,taay vura paqas payqook piqeep
VS-34a_09,karu payeem vura uum taay pa'as.,karu payeem vura uum taay paqas
VS-34a_10,vura uum payeem vura uum taay pa'as.,vura uum payeem vura uum taay paqas
VS-34a_11,ook uum vura uum taay pa'as.,ook uum vura uum taay paqas
VS-34a_12,"ook uum vura taay pa'as, payeem.",ook uum vura taay paqas payeem
VS-34a_13,imaan vura uum taay pa'as pay'ook.,imaan vura uum taay paqas payqook
VS-34a_14,ipit karu taay pa'as ook.,ipit karu taay paqas ook
VS-34a_15,payeem karu vura uum taay pa'as ook.,payeem karu vura uum taay paqas ook
VS-34a_16,ook uum vura uum taay paxuntapan.,ook uum vura uum taay paxuntapan
VS-34a_17,ook uum pufaat paxuntapan.,ook uum pufaat paxuntapan
VS-34a_18,vura uum kunish pufaat paxuntapan.,vura uum kunish pufaat paxuntapan
VS-34a_19,payeem vura uum putaay paxuntapan.,payeem vura uum putaay paxuntapan
VS-34a_20,"ook uum vura taay paxuntapan, pufaat pa'as.",ook uum vura taay paxuntapan pufaat paqas
VS-34a_21,"payeem vura uum ook taay paxuntapan, vura uum pufaat pa'as.",payeem vura uum ook taay paxuntapan vura uum pufaat paqas
VS-34a_22,"pufaat pa'as, ook, xuntapan kich.",pufaat paqas ook xuntapan kich
VS-34a_23,pay'ook uum vura uum taay paxuntapanheesh.,payqook uum vura uum taay paxuntapanheesh
VS-34a_24,"vura uum taay paxuntapan, ipit.",vura uum taay paxuntapan ipit
VS-34a_25,imaan vura uum taay paxuntapanheesh.,imaan vura uum taay paxuntapanheesh
VS-34a_26,yaxa maruk too kfukuvraa.,yaxa maruk too kfukuvraa
VS-34a_27,maruk xas uhyarih.,maruk xas uhyarih
VS-34a_28,yaxa maruk xas uhyarih.,yaxa maruk xas uhyarih
VS-34a_29,maruk uhyarih.,maruk uhyarih
VS-34a_30,yaxa saruk xas too hyarih.,yaxa saruk xas too hyarih
VS-34a_31,imaan xas maruk uhyariheesh.,imaan xas maruk uhyariheesh
VS-34a_32,imaan saruk xas uhyariheesh.,imaan saruk xas uhyariheesh
VS-34a_33,ipit uum maruk uvaaram.,ipit uum maruk uvaaram
VS-34a_34,ipit saruk uvaaram.,ipit saruk uvaaram
VS-34a_35,puuhara maruk poovaaramat.,puuhara maruk poovaaramat
VS-34a_36,ipit ip maruk uvaaramat.,ipit ip maruk uvaaramat
VS-34a_37,maruk vura uum taay pa'ipaha.,maruk vura uum taay paqipaha
VS-34a_38,maruk um taay pa'ipaha?,maruk um taay paqipaha
VS-34a_39,"vura uum pufaat pa'ipaha, maruk.",vura uum pufaat paqipaha maruk
VS-34a_40,maruk pufaat pa'ipaha,maruk pufaat paqipaha
VS-34a_41,pay uum pa'ipaha taay pasaan,pay uum paqipaha taay pasaan
VS-34a_42,pay uum vura uum pufaat pasaan,pay uum vura uum pufaat pasaan
VS-34a_43,imaan vura uum pufaat pasaan,imaan vura uum pufaat pasaan
VS-34a_44,hooy pananipusihich?,hooy pananipusihich
VS-34a_45,ikiich too xuriha.,ikiich too xuriha
VS-34a_46,kuyraak pamu'apsiih,kuyraak pamuqapsiih
VS-34a_47,papusihich uum kuyraak pamu'apsiih.,papusihich uum kuyraak pamuqapsiih
VS-34a_48,papusihich vura uum vaaram pamu'apvuuy.,papusihich vura uum vaaram pamuqapvuuy
VS-34a_49,,
VS-34a_50,papusihich uum vura ipshuunkinich pamu'apvuuy.,papusihich uum vura ipshuunkinich pamuqapvuuy
VS-34a_51,ipshuunkinich pamu'apvuuy.,ipshuunkinich pamuqapvuuy
VS-34a_52,papusihich uum pufaat pamu'apvuuy.,papusihich uum pufaat pamuqapvuuy
VS-34a_53,papusihich apvuyipux.,papusihich apvuyipux
VS-34a_54,pufaat pamu'apvuuy.,pufaat pamuqapvuuy
VS-34a_55,pufaat pamu'apsiih.,pufaat pamuqapsiih
VS-34a_56,peekrivraam axak pamuchivchakar.,peekrivraam axak pamuchivchakar
VS-34a_57,axak pamuchivchakar.,axak pamuchivchakar
VS-34a_58,peekrivraam uum taay pachivchakar.,peekrivraam uum taay pachivchakar
VS-34a_59,peekrivraam uum pufaat pachivchakar.,peekrivraam uum pufaat pachivchakar
VS-34a_60,uum pufaat pachivchakar.,uum pufaat pachivchakar
VS-34a_61,peekrivraam pufaat chivchakar.,peekrivraam pufaat chivchakar
VS-34a_62,aah nipikyaat.,aah nipikyaat
VS-34a_63,pa'aah chimi pikyav!,paqaah chimi pikyav
VS-34a_64,tu'iinva.,tuqiinva
VS-34b_01,papusihich vura uum taay ip u'avat ipit.,papusihich vura uum taay ip uqavat ipit
VS-34b_02,papusihich ip taay tu'avat.,papusihich ip taay tuqavat
VS-34b_03,"puuhara, papusihich ip taay tu'avat.",puuhara papusihich ip taay tuqavat
VS-34b_04,"papusihich vura uum too xuriha, vura uum taay u'aveesh.",papusihich vura uum too xuriha vura uum taay uqaveesh
VS-34b_05,too xuriha.,too xuriha
VS-34b_06,vura uum taay papusihich tu'av.,vura uum taay papusihich tuqav
VS-34b_07,pusihich vura uum puxich too kviit-ha.,pusihich vura uum puxich too kviitha
VS-34b_08,papusihich vura itihaan ukviit-hitih.,papusihich vura itihaan ukviithitih
VS-35a_01,pusihich ikrivkir ukuuntakoo.,pusihich ikrivkir ukuuntakoo
VS-35a_02,axak papusihich ikrivkir kunkuuntakoo,axak papusihich ikrivkir kunkuuntakoo
VS-35a_03,koovura taay papusihich peekrivkir kunkuuntakoo.,koovura taay papusihich peekrivkir kunkuuntakoo
VS-35a_04,pa'avansa ukuuntakoo pa'ikrivkir.,paqavansa ukuuntakoo paqikrivkir
VS-35a_05,pa'avansa kaan ukrii ukuuntakoo pa'as.,paqavansa kaan ukrii ukuuntakoo paqas
VS-35a_06,ukuuntakoo pa'as.,ukuuntakoo paqas
VS-35a_07,pa'apsuun kaan uthaantakoo pa'as.,paqapsuun kaan uthaantakoo paqas
VS-35a_08,papusihich kaan uthaaniv asimnaam.,papusihich kaan uthaaniv asimnaam
VS-35a_09,asimnaam uthaaniv.,asimnaam uthaaniv
VS-35a_10,axak pa'apsuun vaa kaankan kunthaaniv asimnaam,axak paqapsuun vaa kaankan kunthaaniv asimnaam
VS-35a_11,koovura kaan papusihich ta kunyichaachha asimnaam,koovura kaan papusihich ta kunyichaachha asimnaam
VS-35a_12,nani'asimnaam as kaan tuthaaniv,naniqasimnaam as kaan tuthaaniv
VS-35a_13,yaxa pa'achviiv kaan too kxipish.,yaxa paqachviiv kaan too kxipish
VS-35a_14,payook ikriish!,payook ikriish
VS-35a_15,"haa, vaa kaan nikriishriheesh.",haa vaa kaan nikriishriheesh
VS-35a_16,naa payook nikriishrih.,naa payook nikriishrih
VS-35a_17,vaa payook nikrii.,vaa payook nikrii
VS-35a_18,payook koovura nukrii.,payook koovura nukrii
VS-35a_19,koovura kiikriishrih!,koovura kiikriishrih
VS-35a_20,naa payook nithaaniv.,naa payook nithaaniv
VS-35a_21,naa payeem ni'aasishriheesh.,naa payeem niqaasishriheesh
VS-35a_22,payook aasishrih!,payook aasishrih
VS-35a_23,koovura nu'aasishrihinaa.,koovura nuqaasishrihinaa
VS-35a_24,yaxa koovura kunikviit-hinaatih.,yaxa koovura kunikviithinaatih
VS-35a_25,yaxa koovura ta kunikviit-hinaa.,yaxa koovura ta kunikviithinaa
VS-35a_26,naa payook nihyarih.,naa payook nihyarih
VS-35a_27,koovura nuhyarih.,koovura nuhyarih
VS-35a_28,ihyarihship!,ihyarihship
VS-35a_29,iim ihyarihship!,iim ihyarihship
VS-35a_30,koovura kiihyarihship!,koovura kiihyarihship
VS-35a_31,papusihich uhyarih.,papusihich uhyarih
VS-35a_32,pa'ipaha kaan uhyarih.,paqipaha kaan uhyarih
VS-35a_33,apus kaan utakararih,apus kaan utakararih
VS-35a_34,vura uum taay pa'apus kaan utakararih,vura uum taay paqapus kaan utakararih
VS-35a_35,yaxa vaa kaan nitakararih.,yaxa vaa kaan nitakararih
VS-35a_36,vaa kaan pa'ipaha nitakararih,vaa kaan paqipaha nitakararih
VS-35a_37,ta nitakararih,ta nitakararih
VS-35a_38,papusihich kaan ukrii hum?,papusihich kaan ukrii hum
VS-35a_39,papusihich vaa kaan ukriv pa'ikrivkir.,papusihich vaa kaan ukriv paqikrivkir
VS-35a_40,papusihich um vaa kaan ukrii?,papusihich um vaa kaan ukrii
VS-35a_41,puuhara papusihich uum asimnaam ukrii,puuhara papusihich uum asimnaam ukrii
VS-35a_42,iikam um ihyarih?,iikam um ihyarih
VS-35a_43,puuhara iinaak nihyarih.,puuhara iinaak nihyarih
VS-35a_44,iim ipahak ihyarih?,iim ipahak ihyarih
VS-35a_45,"puuhara, naa asak nihyarih.",puuhara naa asak nihyarih
VS-35a_46,xayfaat ipahak ihyarih!,xayfaat ipahak ihyarih
VS-35a_47,xayfaat nani'asimnaam kuthaaniv,xayfaat naniqasimnaam kuthaaniv
VS-35a_48,xayfaat nanikrivkir ikuuntakoo,xayfaat nanikrivkir ikuuntakoo
VS-35b_01,ta numah.,ta numah
VS-35b_02,nipitaptih.,nipitaptih
VS-35b_03,vaa paykuuk nipitap.,vaa paykuuk nipitap
VS-35b_04,ta nimah.,ta nimah
VS-35b_05,ta ni'ay.,ta niqay
VS-35b_06,naa ta athiik.,naa ta athiik
VS-35b_07,iim karu athiik,iim karu athiik
VS-35b_08,ta nayikiha,ta nayikiha
VS-35b_09,imaan nimaheeshi.,imaan nimaheeshi
VS-35b_10,imaan ik nimaheeshi.,imaan ik nimaheeshi
